Category,Name,Address,Description,Phone,Hours,Notes,Google Map Link,Gender,age,Bathrooms,
housing,City TEAM Recovery Program,164 6TH ST. (at Natoma),One-year residential drug recovery program,(415) 861-8688,Mon-Fri 9am-4pm,Call ahead if you can; apply clean & sober M-F 9-10am. Stay up to 1 yr.,"https://maps.google.com/maps?q=164+6TH+ST+san+francisco&ie=UTF-8&hq=&hnear=0x80858083fa35a90f:0x8c8902e2c4e222ad,164+6th+St,+San+Francisco,+CA+94103&gl=us&ei=zPa0ULr8Oea8igLyyYAw&ved=0CC4Q8gEwAA",M,"A, S",,
housing,A Woman's Place,1049 HOWARD (bet. 6th & 7th Sts; enter on Russ St.),5 beds for women in crisis (rape or domestic violence); stay up to 7 days. 16 shelter beds; stay varies. 16 beds in supportive housing (5 for HIV+ women); stay up to 18 months. 8-bed substance abuse program for any woman 18+; stay 1-4 months.,(415) 487-2140 , Drop in 12pm-4pm for referrals & case management,Call for interview. Phone line open 24 hours a day.,"https://maps.google.com/maps?q=1049+howard+st+san+francisco&ie=UTF-8&hq=&hnear=0x80858083c259a3c7:0x4d0bff2db31cc27c,1049+Howard+St,+San+Francisco,+CA+94103&gl=us&ei=O_i0UNGXCeK6igKy24CoCg&ved=0CC4Q8gEwAA",W,"A, S",,
housing,CHANGES: Mission Neighborhood R.C.,165 CAPP (bet.16th & 17th Sts.),"For a 90-day bed in 1 of 8 shelters, line up by 7am. For a 1-night bed, apply during the hours listed.",(415) 869-7977,"M-W 7am-noon, 2-7pm; Th-F 7am-noon, 2-8pm; Sa 7am-noon.","You’ll be photographed & your finger image will be scanned into a computer for future use. It won’t be saved without your consent. They’ll ask for your Social Security number, but you don’t have to give it. You’ll get a reservation for a bed or mat if one is available. If no bed is available you can wait there during open hours until a bed opens up. You can request a ride to the shelter if elderly or disabled. At the shelter your finger image will be scanned again but not saved. English, Spanish.","https://maps.google.com/maps?q=165+capp+street+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e236073d095:0xbe2fd314c4e459d2,165+Capp+St,+San+Francisco,+CA+94110&gl=us&ei=Kp22UNGUN4XyqAHQyYDoAg&ved=0CC4Q8gEwAA",,"A, S",,
housing,CHANGES: Bayview Hunters Point R.C.,2111 JENNINGS (at Van Dyke),"For a 90-day bed in 1 of 8 shelters, line up by 7am. For a 1-night bed, apply during the hours listed.",(415) 671-1100,"Daily 7-9am, 7pm-10pm","You’ll be photographed & your finger image will be scanned into a computer for future use. It won’t be saved without your consent. They’ll ask for your Social Security number, but you don’t have to give it. You’ll get a reservation for a bed or mat if one is available. If no bed is available you can wait there during open hours until a bed opens up. You can request a ride to the shelter if elderly or disabled. At the shelter your finger image will be scanned again but not saved. English, Spanish.","https://maps.google.com/maps?q=2111+jennings+san+francisco&ie=UTF-8&hq=&hnear=0x808f7f170b2bb921:0xcbf63d3470ca2efa,2111+Jennings+St,+San+Francisco,+CA+94124&gl=us&ei=3aC2UNKQEpOnqwH3zYGYAQ&ved=0CC4Q8gEwAA",,"A, S",,
housing,CHANGES: Glide Walk-In Center,330 ELLIS ST. (at Taylor),"For a 90-day bed in 1 of 8 shelters, line up by 7am. For a 1-night bed, apply during the hours listed.",(415) 674-6012,"Daily 7-11am, 4-9pm","You’ll be photographed & your finger image will be scanned into a computer for future use. It won’t be saved without your consent. They’ll ask for your Social Security number, but you don’t have to give it. You’ll get a reservation for a bed or mat if one is available. If no bed is available you can wait there during open hours until a bed opens up. You can request a ride to the shelter if elderly or disabled. At the shelter your finger image will be scanned again but not saved. English, Spanish.","https://maps.google.com/maps?q=330+ellis+street+san+francisco&ie=UTF-8&hq=&hnear=0x8085808f94d546d7:0x60a6700d1d886fcf,330+Ellis+St,+San+Francisco,+CA+94102&gl=us&ei=yaC2UOuNKMb0qQGL-oCYBw&ved=0CDkQ8gEwAQ",,"A, S",,
housing,CHANGES: MSC South,525 5TH ST. (at Bryant),1-night bed and 24 hour drop-in showers and support services available. Doctors on site. ,(415) 597-7960,"Daily 10am (to reserve a place on the priority list for a 1-night bed, assignable at 6:30pm) or 5-9pm (to apply for a 1-night bed). The MSC is also a 24-hr drop-in center with showers & supportive services available, where you can wait for a bed if there is space. Doctors on site: M 1:30-4pm, 6-8pm (dental); Tu 2-4pm, 6-8pm; W 8am-noon, 7:30-9pm (foot clinic 1st & 3rd W); Th 2-5pm, 6-8pm; F 8am-noon.","You’ll be photographed & your finger image will be scanned into a computer for future use. It won’t be saved without your consent. They’ll ask for your Social Security number, but you don’t have to give it. You’ll get a reservation for a bed or mat if one is available. If no bed is available you can wait there during open hours until a bed opens up. You can request a ride to the shelter if elderly or disabled. At the shelter your finger image will be scanned again but not saved. English, Spanish.","https://maps.google.com/maps?q=525+5th+Street,+San+Francisco,+CA&ie=UTF-8&hq=&hnear=0x808f7fd55de0b111:0xfd87f0589736e6f9,525+5th+St,+San+Francisco,+CA+94107&gl=us&ei=pqC2UNW6MdCtqAGsx4CQAQ&ved=0CC4Q8gEwAA",,"A, S",,
housing,Asian Women’s Shelter,,"For battered women (with or without children). Stay up to 12 wks. Priority to women or transgendered people &their children, with limited resources, who don’t speak English. ","(415) 751-0880 (24 hrs) or 877-751-0880 (24 hrs & toll free) for intake interview. 5pm-9am, calls are answered by Woman, Inc. for crisis counseling. ","New guests M-F only, except in emergencies.","Kitchen & basic food provided for cooking; referrals, counseling & clothing available. Staff speaks Arabic, Cantonese, English, Hindi, Hmong, Indonesian, Japanese, Javanese, Laotian, Mandarin, Mien, Punjabi, Russian, Spanish, Taiwanese, Thai, Urdu, & Vietnamese; other languages by phone interpreter",,W,,,
housing,La Casa de las Madres,"OFFICE: 1663 MISSION, SUITE 225 (bet. So. Van Ness & 13 St)","For battered women (with or without children). Program includes counseling, house meetings, 3 meals daily, & chores. Stay up to 8
weeks. For non-residents: support groups, individual counseling, legal aid with restraining orders.",Crisis line: 877-503-1850. Teen crisis line: 877-923-0700 (counseling & referrals only). All numbers are 24 hrs & toll free. Call 877-503-1850 anytime for shelter,,,"https://maps.google.com/maps?q=1663+mission+street+san+francisco+ca&ie=UTF-8&hq=&hnear=0x808f7e20af796859:0xf732578d5585cde3,1663+Mission+St,+San+Francisco,+CA+94103&gl=us&ei=R9e3UNbXKpHkiwLizoC4BQ&ved=0CDEQ8gEwAA",W,,,
housing,Rosalie House,OFFICE: 1175 HOWARD ST. (at 8th St.),"For battered women (with or without children). Adults $0-1 per week (kids free); stay up to 12 weeks. Guests can’t use drugs or alcohol. Program includes counseling, house meetings & chores. Kitchen & food available.",(415) 255-0165. Call M–F 9am-5pm.,,,"https://maps.google.com/maps?q=1175+howard+st+san+francisco&ie=UTF-8&hq=&hnear=0x80858082e450e1df:0x41da7a40597b23fe,1175+Howard+St,+San+Francisco,+CA+94103&gl=us&ei=Zte3UNxTp9eKAvnOgcgD&ved=0CDEQ8gEwAA",W,,,
housing,Connecting Point,,"Not a shelter itself, but offers placement in shelters for 1- or 2-parent families, expectant couples & pregnant women (with proof) & sometimes household members. Samesex couples accepted. Wait 5-6 months for shelter placement, with case management while waiting.","Call toll free 855-234-2667 (M-F 9am-noon; MWF 1-5pm, Tu 3-5pm, Th 2-5pm).",,"Call for intake interview. If you get an answering machine, leave your name & phone number. If you don’t have a return number, call until you get through. Ask about possible financial help for families facing eviction or move-in costs. Cantonese, English, French, Spanish.",,,,,
